[0-9]{3}\.[0-9]{5}\.[0-9]{2}\-[0-9];PIS/PASEP Válido;JS;Cristian Penteado;
\/\*\s\w{1,}\s\*\/;Valida comentario em bloco JS com espaços no início e fim;JS;Cristian Penteado;
(U[a-zA-Z]{2,})+\s;Valida nomes de Universidades brasileiras iniciadas com 'U';JS;Cristian Penteado;
[0-9A-Z]{10}\/[0-9]{2};Valida código do modelo de uma TV Philips;JS;Cristian Penteado;
0*(100(\.|,)00|[0-9]?[0-9]((\.|,)[0-9]{0,})?)%;Valida uma porcentagem com duas casas ap�s o ponto;JS;Cristian Penteado;
[0-9]{5}\/[A-Z]{6}[0-9]{2};Valida código da matéria do sistema acadêmico da Unoesc no Aula online;JS;Cristian Penteado;
([0-9]{1,}((\,|\.)[0-9]*)?A);Valida uma amperagem;JS;Cristian Penteado;
\/\/(\s)?.*;Valida um comentário em JS;JS;Cristian Penteado;
\b[0,1]{1,}\b;Valida um número binário;JS;Cristian Penteado;
[0-9]{2}\.[0-9]{3}\.[0-9]{3}\/[0-9]{4}\-[0-9]{2};CNPJ Válido;JS;Cristian Penteado;
[0-9]{1,4}\/[2][0][1][9];Verifica Número de Licitação ou Processo Licitatório;JS;Douglas Scaini;
[a-zA-Z0-9]+;Nomes Letras e Números - Alfa Numérico;JS;Douglas Scaini;
STEAM_[0-9]:[0-9]:[0-9]{8};Verifica Steam ID (Plataforma de Jogos);JS;Douglas Scaini;
[0-9]{5}[\-][0-9]{3};Código Postal Brasileiro;JS;Douglas Scaini;
(\d{5}([\-]\d{4})?);Código Postal Americano ( nnnnn ou nnnnn-nnnn );JS;Douglas Scaini;
[\+]\d{2}[\(]\d{2}[\)]\d{4}[\-]\d{4};Nómero de Telefone Residencial Completo - Brasil;JS;Douglas Scaini;
\d+;Verifica se é somente um conjunto de números;JS;Douglas Scaini;
\#[a-fA-F0-9]{6};Cores Hexadecial #CCCCCC;JS;Douglas Scaini;
[0-9]{5}\.[0-9]{5}\s[0-9]{5}\.[0-9]{6}\s[0-9]{5}\.[0-9]{5}\s[0-9]\s[0-9]{14};Verificar Linha Digitável Boleto Sicredi Básico;JS;Douglas Scaini;
[-+]?[0-9]*[\.\,]?[0-9]+;Números Positivos e Negativos Decimais;JS;Douglas Scaini;
(http|https):\/\/github.com\/[\w]+;Valida se é link para um perfil válido do Github;JS;Daniel Silva;
(http|https):(\/\/www.facebook.com\/photo.php\?fbid=.+);Valida se é link para uma foto no Facebook;JS;Daniel Silva;
([a-zA-Z])+mon;Verifica se o nome fornecido é de um Digimon;JS;Daniel Silva;
(.+)\.(pdf|PDF);Verifica se o arquivo é um .pdf | .PDF;JS;Daniel Silva;
\b[0-9a-f]{5,40}\b;Valida se é um código SHA-1;JS;Daniel Silva;
(.+) (--help|-h);Verifica se o usuário precisa de ajuda no pacote instalado, por linha de comando;JS;Daniel Silva;
([a-zA-Z]+ (Lannister|Stark));Verifica se você é um personagem com grande potencial pra morrer em Game of Thrones;JS;Daniel Silva;
(ftp):\/\/([a-z]+):(.+)@([a-zA-Z]+:([1-9]|[1-5]?[0-9]{2,4}|6[1-4][0-9]{3}|65[1-4][0-9]{2}|655[1-2][0-9]|6553[1-5]))\/\w*;Verifica se a conexão é FTP;JS;Daniel Silva;
[A-Z]\:;Verifica se é uma unidade de disco;JS;Daniel Silva;
(\d{1,3})(\,|\.)(\d{1,2});Verifica se é uma estação de rádio válida;JS;Daniel Silva;
(\d{4}\.\d{2}\.\d{2});Verificar NCM / Cest;JS;Willian Zanol;
\d{44};Verificar Chave NFE Simples;JS;Willian Zanol;
((\d{3})\.(\d{3})\.(\d{3})\-(\d{2}))|((\d{2})\.(\d{3})\.(\d{3})\/(\d{4})\-(\d{2}));Verificar CPF/CNPJ;JS;Willian Zanol;
(([1]?[0-9]{1,2}|2([0-4][0-9]|5[0-5])).){3}([1]?[0-9]{1,2}|2([0-4][0-9]|5[0-5]));Validar IP;JS;Willian Zanol;
(0?[1-9]|[12][0-9]|3[01])[\/\-](0?[1-9]|1[012])[\/\-]\d{4};Validador de data;JS;Gustavo Campagnin;
([01]?[0-9]|2[0-3]):[0-5][0-9];Veficiar hora no formato de 24 horas;JS;Gustavo Campagnin;
[a-zA-Z0-9._%-]+@[a-zA-Z0-9.-]+.[a-zA-Z]{2,4};Verifica endereços de email;JS;Gustavo Campagnin;
Verifica<[a-z]{1,}(\s|>);Verifica Tags HTML;JS;Gustavo Campagnin;
[\\r\\n];Verificar nova linha;JS;Gustavo Campagnin;
((https?|ftp|file):\/\/)?([\da-z\.-]+)\.([a-z\.]{2,6})([\/\w \.-]*)*\/?;Verificar hyperlinks;JS;Gustavo Campagnin;
(\$(\d*)(\.|\,)(\d{2}));Moeda norte americana;JS;Gustavo Campagnin;
(NYSE|AMEX|NASDAQ):([A-Z]{1,4});Símbolo bolsa de valores;JS;Gustavo Campagnin;
\d{6}\s\d{2}\s\d{2}\s\d{4}\s\d{1}\s\d{5}\s\d{3}\s\d{7}\-\d{2};Verifica certidão de Casamento/Nascimento;JS;Matheus B;
\d{7}\s\d{3}[\-]\d{1};Verifica número e série CTPS;JS;Matheus B;
\+1\(\d{3}[\)]\d{7}|\+1\s\d{3}\-\d{3}\-\d{4};Verifica se o número é dos EUA;JS;Matheus B;
([Sir]+((\s[A-Z]{1}[a-z]{1,}))).*;Verifica se é um SIR;JS;Matheus B;
[a-zA-Z0-9\-\.]{6,20};Verifica Senha;JS;Matheus B;
[0-1]{8};Verifica se é um bit;JS;Matheus B;
\#?([a-fA-F0-9]{6}|[a-fA-F0-9]{3});Verifica se é um hexadecimal;JS;Matheus B;
[H-h][E-e][L-l][L-l][O-o]\s[W-w][O-o][R-r][L-l][D-d];Verifica se é primeiro programa que a pessoa escreve;JS;Matheus B;
Assunto: (\w+);Captura o assunto do email;JS;Matheus B;
([MC-Mc-mc]+\s\w+([\s][\w]+)*);Verifica se é um lanche do MC Donalds;JS;Matheus B;
([2]\,718281828459045235360287471352662);Verifica se é o número de EULER até a 33ª casa decimal;JS;Matheus B;
[+-]?\d+\.\d+, ?[+-]?\d+\.\d+;Verifica se é uma coordenada do google maps;JS;João Marcelo;
2([0]\d{1}[1-9]|100|[0][1-9]{1}\d);Verifica se o ano é do século 21;JS;João Marcelo;
R\$ ?(\d{1,3}.)?\d{1,3},\d{2}$|^U$ ?(\d{1,3},)?\d{1,3}.\d{2};Verifica se é valor monetário brasileiro;JS;João Marcelo;
(<p(\s)?)([a-z]{1,}(=.{1,})?)?>;Pega todas as tags p iniciais;JS;João Marcelo;
[a-zA-Z0-9][a-zA-Z0-9\._-]+@([a-zA-Z0-9\._-]+\.)[a-zA-Z-0-9]{2,3};Verificar qualquer email;JS;João Marcelo;
([0-9]{4}[\/][0-9]{4});Validar ano e modelo carro;JS;João Marcelo;
[a-zA-Z]{3}[0-9]{4};Verifica placa de carro;JS;João Marcelo;
[A-Z]{2,3}-[0-6][0-9]{2};Verifica se é uma rodovia brasileira;JS;João Marcelo;
[\w\.\-]{0,25}(@yahoo\.com\.br);Verifica se é um e-mail do yahoo;JS;Matheus Serafini Junior;